278,2019/11/19 16:52:09.281,60.46794,8.176228,337.5158,1,0
279,2019/11/19 16:52:09.347,59.58697,-1.387569,335.404,1,0
280,2019/11/19 16:52:09.427,62.1236,-4.820642,334.7641,1,0
281,2019/11/19 16:52:09.493,62.37194,-4.971398,335.5028,1,0
282,2019/11/19 16:52:09.563,61.83988,-4.846471,335.9234,1,0
283,2019/11/19 16:52:09.646,62.37179,-0.4660496,340.0741,1,0
284,2019/11/19 16:52:09.715,65.28328,18.63935,350.7981,1,0
285,2019/11/19 16:52:09.785,68.5048,36.23265,360.679,1,0
286,2019/11/19 16:52:09.867,71.10547,57.06981,367.2748,1,0
287,2019/11/19 16:52:09.937,74.98236,86.77462,375.904,1,0
288,2019/11/19 16:52:10.5,75.84983,94.2394,378.2422,1,0
289,2019/11/19 16:52:10.89,78.11441,108.6624,385.9078,1,0
290,2019/11/19 16:52:10.174,79.67579,112.7542,389.3948,1,0
291,2019/11/19 16:52:10.257,81.49063,113.3832,392.843,1,0
292,2019/11/19 16:52:10.335,83.21095,108.5687,393.5378,1,0
293,2019/11/19 16:52:10.405,83.669,99.45197,393.1594,1,0
294,2019/11/19 16:52:10.474,83.17871,84.51157,392.5437,1,0
295,2019/11/19 16:52:10.555,84.01184,55.85559,389.8831,1,0
296,2019/11/19 16:52:10.620,83.61022,34.80539,388.4564,1,0
297,2019/11/19 16:52:10.690,84.70901,15.8676,388.7597,1,0
298,2019/11/19 16:52:10.803,85.65289,-2.902916,384.0169,1,0
299,2019/11/19 16:52:10.883,87.07753,-4.388457,384.8814,1,0
300,2019/11/19 16:52:10.950,86.72306,-3.998259,385.4285,1,0
301,2019/11/19 16:52:11.34,86.15353,-3.411976,386.0805,1,0
302,2019/11/19 16:52:11.105,85.60915,0.6459471,386.6874,1,0
303,2019/11/19 16:52:11.176,85.96648,22.17468,390.2283,1,0
304,2019/11/19 16:52:11.260,86.847,42.64985,396.6278,1,0
305,2019/11/19 16:52:11.327,87.53837,63.83373,403.3686,1,0
306,2019/11/19 16:52:11.396,88.46721,82.61733,411.5477,1,0
307,2019/11/19 16:52:11.476,90.91578,105.5689,418.7177,1,0
308,2019/11/19 16:52:11.549,92.18891,113.9252,421.9081,1,0
309,2019/11/19 16:52:11.630,93.55299,117.1642,424.8397,1,0
310,2019/11/19 16:52:11.718,95.03719,115.6021,427.9565,1,0
311,2019/11/19 16:52:11.787,96.25913,101.9108,431.4457,1,0
312,2019/11/19 16:52:11.851,97.07682,85.52931,432.3712,1,0
313,2019/11/19 16:52:11.937,97.63845,55.32047,434.1997,1,0
314,2019/11/19 16:52:12.7,98.46568,38.59616,435.4492,1,0
315,2019/11/19 16:52:12.85,100.3533,27.52251,439.2557,1,0
316,2019/11/19 16:52:12.183,102.3977,21.97603,442.0282,1,0
317,2019/11/19 16:52:12.261,105.1466,19.79639,446.0878,1,0
318,2019/11/19 16:52:12.332,106.4658,20.15475,448.0684,1,0
319,2019/11/19 16:52:12.414,108.8463,25.95476,454.7975,1,0
320,2019/11/19 16:52:12.508,112.2378,36.96094,464.6577,1,0
321,2019/11/19 16:52:12.577,116.6147,50.32901,477.2426,1,0
322,2019/11/19 16:52:12.659,122.8261,63.06171,495.0195,1,0
323,2019/11/19 16:52:12.729,126.3647,61.97095,505.308,1,0
324,2019/11/19 16:52:12.797,130.1137,53.3394,514.0344,1,0
325,2019/11/19 16:52:12.880,136.5181,33.28428,522.4705,1,0
326,2019/11/19 16:52:12.944,142.0974,21.56298,527.6694,1,0
327,2019/11/19 16:52:13.8,144.7467,9.482676,531.8799,1,0
328,2019/11/19 16:52:13.87,146.5606,-1.520071,533.3959,1,0
329,2019/11/19 16:52:13.152,146.993,-2.939001,533.9482,1,0
330,2019/11/19 16:52:13.220,146.7269,-3.165042,534.1508,1,0
331,2019/11/19 16:52:13.314,146.1584,5.326639,535.7341,1,0
332,2019/11/19 16:52:13.378,145.4021,14.36385,537.0379,1,0
333,2019/11/19 16:52:13.445,143.7963,23.60766,537.735,1,0
334,2019/11/19 16:52:13.522,141.7211,37.12971,538.0835,1,0
335,2019/11/19 16:52:13.589,141.0196,40.9558,538.1198,1,0
336,2019/11/19 16:52:13.655,139.7298,48.88135,537.822,1,0
337,2019/11/19 16:52:13.736,139.2836,60.85114,538.6791,1,0
338,2019/11/19 16:52:13.802,139.8366,68.38152,539.57,1,0
339,2019/11/19 16:52:13.868,140.0253,74.63403,539.9672,1,0
