count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus
count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus
0,2019/11/22 15:43:37.213,109.7498,38.04009,566.1503,1,0,0
1,2019/11/22 15:43:37.223,109.7498,38.04009,566.1503,1,0,0
2,2019/11/22 15:43:37.239,109.6489,37.98959,566.1271,1,0,0
3,2019/11/22 15:43:37.257,109.6489,37.98959,566.1271,1,0,0
4,2019/11/22 15:43:37.273,109.6489,37.98959,566.1271,1,0,0
5,2019/11/22 15:43:37.294,109.5411,37.87688,566.0936,1,0,0
6,2019/11/22 15:43:37.321,109.4658,37.6946,566.0137,1,0,0
7,2019/11/22 15:43:37.337,109.412,37.43641,565.9057,1,0,0
8,2019/11/22 15:43:37.356,109.412,37.43641,565.9057,1,0,0
9,2019/11/22 15:43:37.373,109.3427,37.15878,565.8966,1,0,0
10,2019/11/22 15:43:37.390,109.3427,37.15878,565.8966,1,0,0
11,2019/11/22 15:43:37.412,109.3448,36.8404,565.9736,1,0,0
12,2019/11/22 15:43:37.429,109.2903,36.58249,565.9919,1,0,0
13,2019/11/22 15:43:37.446,109.2903,36.58249,565.9919,1,0,0
14,2019/11/22 15:43:37.463,109.2903,36.58249,565.9919,1,0,0
15,2019/11/22 15:43:37.484,109.2529,36.39612,565.9313,1,0,0
16,2019/11/22 15:43:37.508,109.2676,36.21407,565.9502,1,0,0
17,2019/11/22 15:43:37.526,109.2676,36.21407,565.9502,1,0,0
18,2019/11/22 15:43:37.542,109.2373,36.05128,565.9001,1,0,0
19,2019/11/22 15:43:37.560,109.2571,35.87394,565.9871,1,0,0
20,2019/11/22 15:43:37.576,109.2571,35.87394,565.9871,1,0,0
21,2019/11/22 15:43:37.594,109.2571,35.87394,565.9871,1,0,0
22,2019/11/22 15:43:37.616,109.292,35.69661,565.9797,1,0,0
23,2019/11/22 15:43:37.633,109.2697,35.53609,565.8448,1,0,0
24,2019/11/22 15:43:37.650,109.2697,35.53609,565.8448,1,0,0
25,2019/11/22 15:43:37.667,109.2697,35.53609,565.8448,1,0,0
26,2019/11/22 15:43:37.688,109.2535,35.35161,565.6768,1,0,0
27,2019/11/22 15:43:37.703,109.2535,35.35161,565.6768,1,0,0
28,2019/11/22 15:43:37.727,109.244,35.15109,565.6349,1,0,0
29,2019/11/22 15:43:37.744,109.1706,34.94419,565.5611,1,0,0
30,2019/11/22 15:43:37.761,109.1706,34.94419,565.5611,1,0,0
31,2019/11/22 15:43:37.777,109.0513,34.64605,565.2701,1,0,0
32,2019/11/22 15:43:37.794,109.0513,34.64605,565.2701,1,0,0
33,2019/11/22 15:43:37.818,108.9418,34.28084,565.0721,1,0,0
34,2019/11/22 15:43:37.834,108.8804,33.88107,564.9507,1,0,0
35,2019/11/22 15:43:37.851,108.8804,33.88107,564.9507,1,0,0
36,2019/11/22 15:43:37.868,108.8753,33.62341,564.6604,1,0,0
37,2019/11/22 15:43:37.884,108.8753,33.62341,564.6604,1,0,0
38,2019/11/22 15:43:37.909,109.0527,33.61311,564.6301,1,0,0
39,2019/11/22 15:43:37.932,109.0527,33.61311,564.6301,1,0,0
40,2019/11/22 15:43:37.952,109.3395,33.87649,564.78,1,0,0
41,2019/11/22 15:43:37.969,109.5388,34.25543,564.8201,1,0,0
42,2019/11/22 15:43:37.985,109.5388,34.25543,564.8201,1,0,0
43,2019/11/22 15:43:38.8,109.6206,34.60077,564.615,1,0,0
44,2019/11/22 15:43:38.27,109.6715,34.86124,564.5286,1,0,0
45,2019/11/22 15:43:38.44,109.6715,34.86124,564.5286,1,0,0
46,2019/11/22 15:43:38.61,109.6519,34.97921,564.3329,1,0,0
47,2019/11/22 15:43:38.79,109.6519,34.97921,564.3329,1,0,0
48,2019/11/22 15:43:38.107,109.6362,34.98843,564.3246,1,0,0
49,2019/11/22 15:43:38.123,109.6362,34.98843,564.3246,1,0,0
50,2019/11/22 15:43:38.142,109.6265,34.9249,564.2925,1,0,0
51,2019/11/22 15:43:38.160,109.6265,34.9249,564.2925,1,0,0
52,2019/11/22 15:43:38.177,109.6366,34.82738,564.3772,1,0,0
53,2019/11/22 15:43:38.193,109.6366,34.82738,564.3772,1,0,0
