count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus,freq
69,2019/11/24 23:30:39.457,9.412161,53.65386,477.4301,1,0,0,100
70,2019/11/24 23:30:39.473,9.412161,53.65386,477.4301,1,0,0,100
71,2019/11/24 23:30:39.490,8.793119,56.13665,477.1217,1,0,0,100
72,2019/11/24 23:30:39.506,8.793119,56.13665,477.1217,1,0,0,100
73,2019/11/24 23:30:39.523,8.793119,56.13665,477.1217,1,0,0,100
74,2019/11/24 23:30:39.540,8.886461,57.75502,476.7689,1,0,0,100
75,2019/11/24 23:30:39.557,8.886461,57.75502,476.7689,1,0,0,100
76,2019/11/24 23:30:39.573,8.886461,57.75502,476.7689,1,0,0,100
77,2019/11/24 23:30:39.590,8.033894,62.5085,476.2505,1,0,1,100
78,2019/11/24 23:30:39.607,8.033894,62.5085,476.2505,1,0,1,100
79,2019/11/24 23:30:39.624,8.033894,62.5085,476.2505,1,0,1,0.4374978
80,2019/11/24 23:30:39.641,7.998885,64.72189,475.6188,1,0,1,0.0168395
81,2019/11/24 23:30:39.656,7.998885,64.72189,475.6188,1,0,1,0.01656643
82,2019/11/24 23:30:39.674,7.998885,64.72189,475.6188,1,0,1,0.01662445
83,2019/11/24 23:30:39.689,8.213415,65.61872,475.3802,1,0,1,0.01629384
84,2019/11/24 23:30:39.706,8.213415,65.61872,475.3802,1,0,1,0.01656691
85,2019/11/24 23:30:39.723,8.213415,65.61872,475.3802,1,0,1,0.01636394
86,2019/11/24 23:30:39.739,8.213415,65.61872,475.3802,1,0,1,0.01656723
87,2019/11/24 23:30:39.756,8.396509,65.97868,475.2999,1,0,1,0.01675463
88,2019/11/24 23:30:39.773,8.396509,65.97868,475.2999,1,0,1,0.01687717
89,2019/11/24 23:30:39.788,8.476542,66.58855,475.2616,1,0,1,0.01667372
90,2019/11/24 23:30:39.806,8.476542,66.58855,475.2616,1,0,1,0.01637904
91,2019/11/24 23:30:39.822,8.476542,66.58855,475.2616,1,0,1,0.01625649
92,2019/11/24 23:30:39.838,8.316261,67.15807,474.9963,1,0,1,0.01645899
93,2019/11/24 23:30:39.855,8.316261,67.15807,474.9963,1,0,1,0.01657152
94,2019/11/24 23:30:39.872,8.316261,67.15807,474.9963,1,0,1,0.01656628
95,2019/11/24 23:30:39.888,7.898317,68.86869,474.7212,1,0,1,0.0165666
96,2019/11/24 23:30:39.906,7.898317,68.86869,474.7212,1,0,1,0.01674318
97,2019/11/24 23:30:39.922,7.898317,68.86869,474.7212,1,0,1,0.01686271
98,2019/11/24 23:30:39.937,7.777084,68.84256,474.6992,1,0,1,0.01656675
99,2019/11/24 23:30:39.955,7.777084,68.84256,474.6992,1,0,1,0.01662366
100,2019/11/24 23:30:39.971,7.777084,68.84256,474.6992,1,0,1,0.01629988
101,2019/11/24 23:30:39.987,8.083289,65.93315,475.248,1,0,1,0.01673031
102,2019/11/24 23:30:40.4,8.083289,65.93315,475.248,1,0,1,0.01632833
103,2019/11/24 23:30:40.21,8.083289,65.93315,475.248,1,0,1,0.01662954
104,2019/11/24 23:30:40.37,8.315758,60.55339,476.1511,1,0,0,0.01662954
105,2019/11/24 23:30:40.53,8.315758,60.55339,476.1511,1,0,0,0.01662954
106,2019/11/24 23:30:40.70,8.315758,60.55339,476.1511,1,0,0,0.01662954
107,2019/11/24 23:30:40.86,8.869453,57.74324,476.5261,1,0,0,0.01662954
108,2019/11/24 23:30:40.104,8.869453,57.74324,476.5261,1,0,0,0.01662954
109,2019/11/24 23:30:40.121,8.869453,57.74324,476.5261,1,0,0,0.01662954
110,2019/11/24 23:30:40.136,8.869453,57.74324,476.5261,1,0,0,0.01662954
111,2019/11/24 23:30:40.153,8.920833,56.23192,476.8198,1,0,0,0.01662954
112,2019/11/24 23:30:40.170,8.920833,56.23192,476.8198,1,0,0,0.01662954
113,2019/11/24 23:30:40.186,8.920833,56.23192,476.8198,1,0,0,0.01662954
114,2019/11/24 23:30:40.204,9.323278,52.62724,477.6612,1,0,0,0.01662954
115,2019/11/24 23:30:40.220,9.323278,52.62724,477.6612,1,0,0,0.01662954
116,2019/11/24 23:30:40.236,9.231752,49.13205,478.1262,1,0,0,0.01662954
117,2019/11/24 23:30:40.253,9.231752,49.13205,478.1262,1,0,0,0.01662954
118,2019/11/24 23:30:40.269,9.231752,49.13205,478.1262,1,0,0,0.01662954
119,2019/11/24 23:30:40.287,9.639491,47.142,478.5719,1,0,0,0.01662954
120,2019/11/24 23:30:40.302,9.639491,47.142,478.5719,1,0,0,0.01662954
121,2019/11/24 23:30:40.318,9.639491,47.142,478.5719,1,0,0,0.01662954
122,2019/11/24 23:30:40.335,9.283017,46.07605,478.7233,1,0,0,0.01662954
123,2019/11/24 23:30:40.351,9.283017,46.07605,478.7233,1,0,0,0.01662954
124,2019/11/24 23:30:40.368,9.283017,46.07605,478.7233,1,0,0,0.01662954
125,2019/11/24 23:30:40.385,9.041005,47.10628,478.4836,1,0,0,0.01662954
126,2019/11/24 23:30:40.402,9.041005,47.10628,478.4836,1,0,0,0.01662954
127,2019/11/24 23:30:40.419,9.041005,47.10628,478.4836,1,0,0,0.01662954
128,2019/11/24 23:30:40.435,9.256452,47.27644,478.2054,1,0,0,0.01662954
129,2019/11/24 23:30:40.451,9.256452,47.27644,478.2054,1,0,0,0.01662954
130,2019/11/24 23:30:40.467,9.256452,47.27644,478.2054,1,0,0,0.01662954
131,2019/11/24 23:30:40.485,8.997685,47.38706,478.4317,1,0,0,0.01662954
132,2019/11/24 23:30:40.501,8.997685,47.38706,478.4317,1,0,0,0.01662954
133,2019/11/24 23:30:40.517,8.997685,47.38706,478.4317,1,0,0,0.01662954
134,2019/11/24 23:30:40.534,8.997685,47.38706,478.4317,1,0,0,0.01662954
135,2019/11/24 23:30:40.551,9.125706,47.31221,478.4085,1,0,0,0.01662954
136,2019/11/24 23:30:40.567,9.125706,47.31221,478.4085,1,0,0,0.01662954
137,2019/11/24 23:30:40.584,9.125706,47.31221,478.4085,1,0,0,0.01662954
138,2019/11/24 23:30:40.602,8.949292,47.62874,478.6786,1,0,0,0.01662954
139,2019/11/24 23:30:40.618,8.949292,47.62874,478.6786,1,0,0,0.01662954
140,2019/11/24 23:30:40.635,8.949292,47.62874,478.6786,1,0,0,0.01662954
141,2019/11/24 23:30:40.651,8.763297,47.78701,478.6973,1,0,0,0.01662954
142,2019/11/24 23:30:40.667,8.763297,47.78701,478.6973,1,0,0,0.01662954
143,2019/11/24 23:30:40.683,8.763297,47.78701,478.6973,1,0,0,0.01662954
144,2019/11/24 23:30:40.700,8.728713,47.57909,478.8433,1,0,0,0.01662954
145,2019/11/24 23:30:40.716,8.728713,47.57909,478.8433,1,0,0,0.01662954
146,2019/11/24 23:30:40.733,8.403957,47.23755,478.8933,1,0,0,0.01662954
147,2019/11/24 23:30:40.750,8.403957,47.23755,478.8933,1,0,0,0.01662954
148,2019/11/24 23:30:40.766,8.403957,47.23755,478.8933,1,0,0,0.01662954
149,2019/11/24 23:30:40.783,8.669215,47.24519,478.7092,1,0,0,0.01662954
150,2019/11/24 23:30:40.799,8.669215,47.24519,478.7092,1,0,0,0.01662954
151,2019/11/24 23:30:40.817,8.669215,47.24519,478.7092,1,0,0,0.01662954
152,2019/11/24 23:30:40.833,8.650051,47.60363,478.6116,1,0,0,0.01662954
153,2019/11/24 23:30:40.849,8.650051,47.60363,478.6116,1,0,0,0.01662954
154,2019/11/24 23:30:40.866,8.650051,47.60363,478.6116,1,0,0,0.01662954
155,2019/11/24 23:30:40.882,8.43163,47.90705,478.4019,1,0,0,0.01662954
156,2019/11/24 23:30:40.900,8.43163,47.90705,478.4019,1,0,0,0.01662954
157,2019/11/24 23:30:40.916,8.43163,47.90705,478.4019,1,0,0,0.01662954
158,2019/11/24 23:30:40.932,8.43163,47.90705,478.4019,1,0,0,0.01662954
159,2019/11/24 23:30:40.949,8.631741,47.7901,478.2926,1,0,0,0.01662954
160,2019/11/24 23:30:40.966,8.631741,47.7901,478.2926,1,0,0,0.01662954
161,2019/11/24 23:30:40.983,8.631741,47.7901,478.2926,1,0,0,0.01662954
