count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus,freq
68,2019/11/24 23:27:36.43,-2.313011,49.22698,593.1813,1,0,0,100
69,2019/11/24 23:27:36.59,-3.144153,49.53604,593.0626,1,0,0,100
70,2019/11/24 23:27:36.76,-3.144153,49.53604,593.0626,1,0,0,100
71,2019/11/24 23:27:36.91,-3.589267,50.10205,592.7863,1,0,0,100
72,2019/11/24 23:27:36.108,-3.589267,50.10205,592.7863,1,0,0,100
73,2019/11/24 23:27:36.125,-4.186742,50.50685,592.6702,1,0,0,100
74,2019/11/24 23:27:36.141,-4.186742,50.50685,592.6702,1,0,0,100
75,2019/11/24 23:27:36.158,-4.550346,50.6943,592.6357,1,0,0,100
76,2019/11/24 23:27:36.174,-4.550346,50.6943,592.6357,1,0,0,100
77,2019/11/24 23:27:36.191,-4.794057,50.98772,592.5456,1,0,0,100
78,2019/11/24 23:27:36.208,-4.794057,50.98772,592.5456,1,0,0,100
79,2019/11/24 23:27:36.224,-4.974864,51.05206,592.3722,1,0,0,100
80,2019/11/24 23:27:36.241,-4.974864,51.05206,592.3722,1,0,0,100
81,2019/11/24 23:27:36.257,-4.974864,51.05206,592.3722,1,0,0,100
82,2019/11/24 23:27:36.274,-4.992781,51.13594,592.3279,1,0,0,100
83,2019/11/24 23:27:36.291,-4.992781,51.13594,592.3279,1,0,0,100
84,2019/11/24 23:27:36.307,-5.077556,51.31742,592.2714,1,0,0,100
85,2019/11/24 23:27:36.324,-5.077556,51.31742,592.2714,1,0,0,100
86,2019/11/24 23:27:36.341,-5.375093,51.54366,592.1704,1,0,0,100
87,2019/11/24 23:27:36.357,-5.288958,51.79298,592.1626,1,0,0,100
88,2019/11/24 23:27:36.374,-5.288958,51.79298,592.1626,1,0,0,100
89,2019/11/24 23:27:36.390,-5.288958,51.79298,592.1626,1,0,0,100
90,2019/11/24 23:27:36.407,-5.253276,51.60201,592.1236,1,0,0,100
91,2019/11/24 23:27:36.424,-4.924823,51.26759,592.2156,1,0,0,100
92,2019/11/24 23:27:36.440,-4.924823,51.26759,592.2156,1,0,0,100
93,2019/11/24 23:27:36.456,-4.924823,51.26759,592.2156,1,0,0,100
94,2019/11/24 23:27:36.473,-4.381423,51.29253,592.1869,1,0,0,100
95,2019/11/24 23:27:36.491,-4.339219,51.26263,592.298,1,0,0,100
96,2019/11/24 23:27:36.506,-4.339219,51.26263,592.298,1,0,0,100
97,2019/11/24 23:27:36.524,-4.026011,51.19448,592.3618,1,0,0,100
98,2019/11/24 23:27:36.540,-4.026011,51.19448,592.3618,1,0,0,100
99,2019/11/24 23:27:36.555,-3.345383,51.15698,592.2438,1,0,0,100
100,2019/11/24 23:27:36.572,-3.345383,51.15698,592.2438,1,0,0,100
101,2019/11/24 23:27:36.589,-2.918375,51.01865,592.2801,1,0,0,100
102,2019/11/24 23:27:36.606,-2.918375,51.01865,592.2801,1,0,0,100
103,2019/11/24 23:27:36.623,-2.786947,51.41878,592.2969,1,0,0,100
104,2019/11/24 23:27:36.639,-2.786947,51.41878,592.2969,1,0,0,100
105,2019/11/24 23:27:36.655,-2.824508,51.75219,592.1976,1,0,0,100
106,2019/11/24 23:27:36.672,-2.824508,51.75219,592.1976,1,0,0,100
107,2019/11/24 23:27:36.689,-2.924958,52.05651,592.0619,1,0,0,100
108,2019/11/24 23:27:36.705,-2.924958,52.05651,592.0619,1,0,0,100
109,2019/11/24 23:27:36.722,-2.924958,52.05651,592.0619,1,0,0,100
110,2019/11/24 23:27:36.738,-3.18807,52.57212,592.1617,1,0,0,100
111,2019/11/24 23:27:36.755,-3.18776,53.05107,592.1331,1,0,0,100
112,2019/11/24 23:27:36.771,-3.18776,53.05107,592.1331,1,0,0,100
113,2019/11/24 23:27:36.787,-3.18776,53.05107,592.1331,1,0,0,100
114,2019/11/24 23:27:36.804,-3.220211,53.85704,592.0359,1,0,0,100
115,2019/11/24 23:27:36.821,-3.220211,53.85704,592.0359,1,0,0,100
116,2019/11/24 23:27:36.837,-3.506575,55.31845,591.8231,1,0,0,100
117,2019/11/24 23:27:36.854,-3.414635,56.05843,591.7715,1,0,0,100
118,2019/11/24 23:27:36.871,-3.414635,56.05843,591.7715,1,0,0,100
119,2019/11/24 23:27:36.887,-3.414635,56.05843,591.7715,1,0,0,100
120,2019/11/24 23:27:36.904,-3.535919,56.78602,591.7371,1,0,0,100
121,2019/11/24 23:27:36.920,-3.425137,58.31858,591.39,1,0,0,100
122,2019/11/24 23:27:36.937,-3.425137,58.31858,591.39,1,0,0,100
123,2019/11/24 23:27:36.953,-3.370204,59.118,591.1325,1,0,0,100
124,2019/11/24 23:27:36.970,-3.370204,59.118,591.1325,1,0,0,100
125,2019/11/24 23:27:36.987,-3.447195,59.76653,590.9482,1,0,0,100
126,2019/11/24 23:27:37.3,-3.447195,59.76653,590.9482,1,0,0,100
127,2019/11/24 23:27:37.20,-3.013765,60.0422,590.7191,1,0,0,100
128,2019/11/24 23:27:37.36,-3.013765,60.0422,590.7191,1,0,0,100
129,2019/11/24 23:27:37.53,-2.833699,60.06804,590.6106,1,0,0,100
130,2019/11/24 23:27:37.70,-2.833699,60.06804,590.6106,1,0,0,100
131,2019/11/24 23:27:37.87,-2.869272,60.21875,590.5422,1,0,0,100
132,2019/11/24 23:27:37.103,-2.869272,60.21875,590.5422,1,0,0,100
133,2019/11/24 23:27:37.120,-3.233212,60.82755,590.5118,1,0,0,100
134,2019/11/24 23:27:37.136,-3.233212,60.82755,590.5118,1,0,0,100
135,2019/11/24 23:27:37.152,-3.233212,60.82755,590.5118,1,0,0,100
136,2019/11/24 23:27:37.169,-3.455252,61.1722,590.4043,1,0,0,100
137,2019/11/24 23:27:37.185,-3.455252,61.1722,590.4043,1,0,0,100
138,2019/11/24 23:27:37.202,-3.550755,61.25818,590.3555,1,0,0,100
139,2019/11/24 23:27:37.218,-3.550755,61.25818,590.3555,1,0,0,100
140,2019/11/24 23:27:37.235,-3.604531,61.5841,590.2201,1,0,0,100
