count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus
75,2019/11/20 14:14:43.310,-20.64195,101.6959,607.4459,1,0
76,2019/11/20 14:14:43.356,-20.0493,99.04345,608.3181,1,0
77,2019/11/20 14:14:43.408,-19.33926,94.16857,608.8349,1,0
78,2019/11/20 14:14:43.490,-18.90726,92.33326,608.6645,1,0
79,2019/11/20 14:14:43.561,-18.26545,88.87397,608.7709,1,0
80,2019/11/20 14:14:43.620,-17.25959,84.52957,608.3702,1,0
81,2019/11/20 14:14:43.701,-16.53767,80.23542,608.0405,1,0
82,2019/11/20 14:14:43.774,-15.68256,76.50818,608.1751,1,0
83,2019/11/20 14:14:43.837,-14.31229,72.35234,608.1055,1,0
84,2019/11/20 14:14:43.927,-13.93064,71.1498,607.9916,1,0
85,2019/11/20 14:14:44.1,-13.28915,69.2318,607.7195,1,0
86,2019/11/20 14:14:44.59,-12.91191,67.26988,607.5813,1,0
87,2019/11/20 14:14:44.141,-12.86955,65.97682,607.1495,1,0
88,2019/11/20 14:14:44.226,-12.82665,65.03134,606.7234,1,0
89,2019/11/20 14:14:44.299,-12.59382,64.67274,606.0978,1,0
90,2019/11/20 14:14:44.377,-12.3337,64.71591,605.5591,1,0
91,2019/11/20 14:14:44.458,-12.28809,64.61475,605.2542,1,0
92,2019/11/20 14:14:44.520,-12.47591,63.98428,604.7537,1,0
93,2019/11/20 14:14:44.605,-12.4669,63.38245,604.5326,1,0
94,2019/11/20 14:14:44.679,-12.47279,62.91999,604.3318,1,0
95,2019/11/20 14:14:44.738,-12.63143,62.83809,604.1904,1,0
96,2019/11/20 14:14:44.828,-12.72991,62.97434,604.1971,1,0
97,2019/11/20 14:14:44.902,-12.63877,62.81019,603.8969,1,0
98,2019/11/20 14:14:44.962,-12.27094,62.14651,603.4928,1,0
99,2019/11/20 14:14:45.49,-11.72107,60.90381,602.9855,1,0
100,2019/11/20 14:14:45.123,-10.90461,58.52901,602.0878,1,0
101,2019/11/20 14:14:45.181,-10.48574,57.6029,601.4752,1,0
102,2019/11/20 14:14:45.259,-10.50473,58.8622,601.2729,1,0
103,2019/11/20 14:14:45.340,-11.22203,62.98592,601.3438,1,0
104,2019/11/20 14:14:45.401,-12.31591,69.35569,601.7935,1,0
105,2019/11/20 14:14:45.482,-13.29475,76.33614,602.2225,1,0
106,2019/11/20 14:14:45.570,-14.15829,85.52897,603.0061,1,0
107,2019/11/20 14:14:45.640,-14.54254,90.58808,603.5634,1,0
108,2019/11/20 14:14:45.733,-14.99021,94.95213,604.1588,1,0
109,2019/11/20 14:14:45.809,-15.61567,98.35366,604.5571,1,0
110,2019/11/20 14:14:45.873,-16.675,101.6128,605.3097,1,0
111,2019/11/20 14:14:45.957,-17.08557,101.6617,605.6804,1,0
112,2019/11/20 14:14:46.29,-16.95415,100.3399,606.0866,1,0
113,2019/11/20 14:14:46.97,-16.50096,98.48376,606.2578,1,0
114,2019/11/20 14:14:46.176,-16.34339,98.10409,606.5104,1,0
115,2019/11/20 14:14:46.252,-15.92889,97.54264,606.6368,1,0
116,2019/11/20 14:14:46.312,-15.80013,97.53182,606.5453,1,0
117,2019/11/20 14:14:46.396,-15.8136,97.26908,606.693,1,0
118,2019/11/20 14:14:46.472,-15.88902,96.42352,606.3093,1,0
119,2019/11/20 14:14:46.531,-15.65265,94.19395,605.6666,1,0
120,2019/11/20 14:14:46.609,-15.6228,93.62472,605.6983,1,0
121,2019/11/20 14:14:46.685,-15.72235,92.37623,605.5974,1,0
122,2019/11/20 14:14:46.749,-15.49733,92.71426,605.7563,1,0
123,2019/11/20 14:14:46.828,-15.31441,93.69195,606.0343,1,0
124,2019/11/20 14:14:46.911,-15.10264,94.55937,606.3409,1,0
125,2019/11/20 14:14:46.974,-14.83447,94.97501,606.3561,1,0
126,2019/11/20 14:14:47.58,-14.797,94.78135,606.5263,1,0
127,2019/11/20 14:14:47.132,-14.65982,93.69745,606.0178,1,0
128,2019/11/20 14:14:47.192,-14.48127,93.06277,605.7533,1,0
129,2019/11/20 14:14:47.271,-14.28391,92.73438,605.2473,1,0
130,2019/11/20 14:14:47.345,-14.28168,92.79565,605.0143,1,0
131,2019/11/20 14:14:47.405,-14.55021,92.62565,604.9008,1,0
132,2019/11/20 14:14:47.487,-14.55324,92.05135,604.5806,1,0
133,2019/11/20 14:14:47.560,-14.23071,91.2674,604.6222,1,0
134,2019/11/20 14:14:47.621,-13.91672,90.48151,604.615,1,0
135,2019/11/20 14:14:47.700,-13.59023,90.08811,604.4202,1,0
136,2019/11/20 14:14:47.774,-13.34557,89.67731,604.5312,1,0
137,2019/11/20 14:14:47.831,-13.29858,89.73595,604.6211,1,0
138,2019/11/20 14:14:47.912,-13.34466,90.00203,604.8292,1,0
139,2019/11/20 14:14:47.995,-13.41319,90.42481,605.1134,1,0
140,2019/11/20 14:14:48.57,-13.3649,90.60968,605.1591,1,0
141,2019/11/20 14:14:48.142,-13.26064,90.55434,605.3557,1,0
142,2019/11/20 14:14:48.217,-13.15351,90.33292,605.5173,1,0
143,2019/11/20 14:14:48.277,-13.05418,90.08259,605.76,1,0
144,2019/11/20 14:14:48.359,-12.94599,89.79873,605.7375,1,0
145,2019/11/20 14:14:48.432,-12.82728,89.78698,605.6823,1,0
146,2019/11/20 14:14:48.495,-12.80953,90.05747,605.7911,1,0
147,2019/11/20 14:14:48.579,-12.80056,90.19091,605.8899,1,0
148,2019/11/20 14:14:48.655,-12.85019,90.26623,606.0193,1,0
149,2019/11/20 14:14:48.716,-12.95455,90.32354,606.183,1,0
150,2019/11/20 14:14:48.798,-12.93348,90.33681,606.1929,1,0
151,2019/11/20 14:14:48.873,-12.85842,90.30626,606.1472,1,0
152,2019/11/20 14:14:48.937,-12.69215,90.25889,606.1959,1,0
153,2019/11/20 14:14:49.22,-12.6379,90.22491,606.2473,1,0
154,2019/11/20 14:14:49.98,-12.58862,90.2225,606.3026,1,0
155,2019/11/20 14:14:49.157,-12.6102,89.96053,605.9351,1,0
156,2019/11/20 14:14:49.235,-12.68981,89.8102,605.676,1,0
157,2019/11/20 14:14:49.316,-12.78057,89.88272,605.6733,1,0
158,2019/11/20 14:14:49.376,-12.83954,90.11349,605.7551,1,0
159,2019/11/20 14:14:49.452,-12.88951,90.54749,605.8145,1,0
160,2019/11/20 14:14:49.536,-13.08081,91.24296,605.7464,1,0
161,2019/11/20 14:14:49.594,-13.20484,91.61292,605.6036,1,0
162,2019/11/20 14:14:49.675,-13.28985,91.59042,605.5439,1,0
163,2019/11/20 14:14:49.756,-13.3752,91.47495,605.4773,1,0
164,2019/11/20 14:14:49.817,-13.27669,91.19886,604.9779,1,0
165,2019/11/20 14:14:49.898,-12.99719,90.99349,604.1589,1,0
166,2019/11/20 14:14:49.972,-12.72236,90.69099,603.8463,1,0
167,2019/11/20 14:14:50.36,-12.73332,90.37658,603.8165,1,0
168,2019/11/20 14:14:50.119,-12.68424,90.14187,603.9045,1,0
169,2019/11/20 14:14:50.195,-12.67268,89.76791,603.6871,1,0
170,2019/11/20 14:14:50.257,-12.56609,89.31853,603.4948,1,0
171,2019/11/20 14:14:50.341,-12.43269,88.92816,603.4222,1,0
172,2019/11/20 14:14:50.414,-12.24207,88.63462,603.5628,1,0
173,2019/11/20 14:14:50.545,-12.07342,88.44484,603.7025,1,0
174,2019/11/20 14:14:50.645,-11.96971,88.27631,603.5497,1,0
175,2019/11/20 14:14:50.708,-11.81644,87.65684,603.7111,1,0
176,2019/11/20 14:14:50.774,-11.75884,87.53315,603.7023,1,0
177,2019/11/20 14:14:50.827,-11.63593,87.46272,603.8638,1,0
178,2019/11/20 14:14:50.866,-11.57185,87.38847,603.8969,1,0
179,2019/11/20 14:14:50.932,-11.51209,87.25843,603.8184,1,0
180,2019/11/20 14:14:51.16,-11.53348,87.26948,603.8814,1,0
181,2019/11/20 14:14:51.99,-11.47849,87.17951,603.7936,1,0
182,2019/11/20 14:14:51.165,-11.24877,86.87386,603.7132,1,0
183,2019/11/20 14:14:51.245,-11.0691,86.58086,603.7783,1,0
184,2019/11/20 14:14:51.350,-10.98915,86.33307,603.7671,1,0
185,2019/11/20 14:14:51.388,-10.92788,86.09434,603.5015,1,0
186,2019/11/20 14:14:51.439,-10.9716,86.08073,603.244,1,0
187,2019/11/20 14:14:51.483,-11.04165,86.09173,603.1168,1,0
188,2019/11/20 14:14:51.526,-11.10843,86.25513,603.2302,1,0
189,2019/11/20 14:14:51.572,-11.16763,86.41499,603.3861,1,0
190,2019/11/20 14:14:51.606,-11.21976,86.57449,603.1979,1,0
191,2019/11/20 14:14:51.639,-11.36093,86.76648,603.0432,1,0
192,2019/11/20 14:14:51.684,-11.47689,86.85,603.0527,1,0
193,2019/11/20 14:14:51.727,-11.55757,86.93272,603.0543,1,0
194,2019/11/20 14:14:51.757,-11.59227,86.92363,602.8613,1,0
195,2019/11/20 14:14:51.802,-11.64111,86.87,602.8044,1,0
196,2019/11/20 14:14:51.834,-11.66755,86.79375,602.7639,1,0
197,2019/11/20 14:14:51.869,-11.61353,86.71342,602.8425,1,0
198,2019/11/20 14:14:51.911,-11.58881,86.72645,602.6718,1,0
199,2019/11/20 14:14:51.953,-11.56365,86.8012,602.5963,1,0
200,2019/11/20 14:14:51.985,-11.53216,86.87226,602.5436,1,0
201,2019/11/20 14:14:52.30,-11.52006,86.99029,602.5246,1,0
202,2019/11/20 14:14:52.64,-11.47345,86.85583,602.6173,1,0
203,2019/11/20 14:14:52.98,-11.52987,86.66543,602.6723,1,0
204,2019/11/20 14:14:52.140,-11.60348,86.45699,602.6995,1,0
205,2019/11/20 14:14:52.183,-11.65693,86.23067,602.5046,1,0
206,2019/11/20 14:14:52.214,-11.74753,86.1679,602.5135,1,0
207,2019/11/20 14:14:52.255,-11.79904,86.10001,602.3802,1,0
208,2019/11/20 14:14:52.277,-11.79904,86.10001,602.3802,1,0
209,2019/11/20 14:14:52.313,-11.78523,85.99221,602.2768,1,0
210,2019/11/20 14:14:52.344,-11.69237,85.95943,602.189,1,0
211,2019/11/20 14:14:52.398,-11.56995,85.89172,602.3352,1,0
212,2019/11/20 14:14:52.432,-11.38446,85.7232,602.1442,1,0
213,2019/11/20 14:14:52.466,-11.13487,85.1822,602.0037,1,0
214,2019/11/20 14:14:52.513,-10.97293,84.7262,601.8747,1,0
215,2019/11/20 14:14:52.546,-10.81325,84.3839,601.584,1,0
216,2019/11/20 14:14:52.591,-10.67802,84.17445,601.6653,1,0
217,2019/11/20 14:14:52.633,-10.63193,83.89201,601.636,1,0
218,2019/11/20 14:14:52.667,-10.61061,83.68942,601.6487,1,0
219,2019/11/20 14:14:52.699,-10.6084,83.50936,601.6395,1,0
220,2019/11/20 14:14:52.744,-10.57033,83.20977,601.3303,1,0
221,2019/11/20 14:14:52.777,-10.45776,82.86555,601.3735,1,0
222,2019/11/20 14:14:52.820,-10.32088,82.49607,601.3564,1,0
223,2019/11/20 14:14:52.878,-10.16328,82.13151,601.2948,1,0
224,2019/11/20 14:14:52.915,-10.00619,81.83633,601.2444,1,0
225,2019/11/20 14:14:52.948,-9.87969,81.672,601.4149,1,0
226,2019/11/20 14:14:52.994,-9.938061,81.78371,601.377,1,0
227,2019/11/20 14:14:53.34,-10.02347,81.96793,601.4391,1,0
228,2019/11/20 14:14:53.70,-10.06705,82.12735,601.5524,1,0
229,2019/11/20 14:14:53.113,-10.11898,82.29131,601.538,1,0
230,2019/11/20 14:14:53.148,-10.12004,82.4092,601.4399,1,0
231,2019/11/20 14:14:53.169,-10.12004,82.4092,601.4399,1,0
232,2019/11/20 14:14:53.207,-10.0722,82.40577,601.428,1,0
233,2019/11/20 14:14:53.258,-10.00754,82.3567,601.3372,1,0
234,2019/11/20 14:14:53.292,-9.960262,82.27451,601.3091,1,0
235,2019/11/20 14:14:53.325,-9.858136,82.12922,601.0343,1,0
236,2019/11/20 14:14:53.372,-9.799095,82.01251,600.8629,1,0
237,2019/11/20 14:14:53.404,-9.751144,81.97117,600.8864,1,0
238,2019/11/20 14:14:53.439,-9.706303,81.96052,600.7853,1,0
239,2019/11/20 14:14:53.489,-9.708109,82.00367,600.8611,1,0
240,2019/11/20 14:14:53.524,-9.697646,81.9819,600.6693,1,0
241,2019/11/20 14:14:53.563,-9.804871,82.076,600.8317,1,0
242,2019/11/20 14:14:53.610,-9.812608,81.99461,600.7878,1,0
243,2019/11/20 14:14:53.645,-9.699821,81.72263,600.7844,1,0
244,2019/11/20 14:14:53.687,-9.544094,81.23695,600.5731,1,0
245,2019/11/20 14:14:53.736,-9.401442,80.66845,600.6342,1,0
246,2019/11/20 14:14:53.771,-9.237745,80.12283,600.6577,1,0
247,2019/11/20 14:14:53.803,-8.940354,79.43201,601.021,1,0
