count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus
70,2019/11/22 16:28:38.983,15.22715,-80.20428,599.6209,1,0,0
71,2019/11/22 16:28:39.16,13.27822,-83.96214,594.1119,1,0,0
72,2019/11/22 16:28:39.41,11.91229,-86.71507,589.1292,1,0,0
73,2019/11/22 16:28:39.74,11.62197,-88.516,585.0576,1,0,0
74,2019/11/22 16:28:39.91,11.62197,-88.516,585.0576,1,0,0
75,2019/11/22 16:28:39.116,11.45729,-90.07584,581.6218,1,0,0
76,2019/11/22 16:28:39.149,9.396876,-91.7582,578.5187,1,0,0
77,2019/11/22 16:28:39.179,7.853448,-93.83098,575.1306,1,0,0
78,2019/11/22 16:28:39.206,7.633728,-96.09727,572.3972,1,0,0
79,2019/11/22 16:28:39.230,7.986501,-97.39223,571.2034,1,0,0
80,2019/11/22 16:28:39.247,7.986501,-97.39223,571.2034,1,0,0
81,2019/11/22 16:28:39.283,8.095241,-97.2346,571.863,1,0,0
82,2019/11/22 16:28:39.309,8.356847,-96.27212,573.4775,1,0,0
83,2019/11/22 16:28:39.326,8.356847,-96.27212,573.4775,1,0,0
84,2019/11/22 16:28:39.349,8.840651,-95.30766,574.9405,1,0,0
85,2019/11/22 16:28:39.376,9.236239,-94.86118,576.2218,1,0,0
86,2019/11/22 16:28:39.392,9.236239,-94.86118,576.2218,1,0,0
87,2019/11/22 16:28:39.425,9.596903,-94.68194,577.5048,1,0,0
88,2019/11/22 16:28:39.450,9.966854,-94.33315,578.3643,1,0,0
89,2019/11/22 16:28:39.482,10.37759,-93.87244,580.1366,1,0,0
90,2019/11/22 16:28:39.511,10.72468,-93.35615,581.5233,1,0,0
91,2019/11/22 16:28:39.543,10.83204,-93.18259,582.371,1,0,0
92,2019/11/22 16:28:39.569,10.5728,-93.62547,582.3022,1,0,0
93,2019/11/22 16:28:39.593,10.04254,-94.75256,581.347,1,0,0
94,2019/11/22 16:28:39.610,10.04254,-94.75256,581.347,1,0,0
95,2019/11/22 16:28:39.637,9.437026,-96.49192,579.8683,1,0,0
96,2019/11/22 16:28:39.671,8.98969,-98.34285,577.7239,1,0,0
97,2019/11/22 16:28:39.698,9.038693,-99.45837,576.2969,1,0,0
98,2019/11/22 16:28:39.715,9.038693,-99.45837,576.2969,1,0,0
