count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus
0,2019/11/22 16:00:28.667,-68.28162,13.45134,626.8871,1,0,0
1,2019/11/22 16:00:28.690,-67.84345,13.67844,627.606,1,0,0
2,2019/11/22 16:00:28.756,-67.40293,13.36803,628.6716,1,0,0
3,2019/11/22 16:00:28.803,-66.16577,12.49422,630.6179,1,0,0
4,2019/11/22 16:00:28.831,-65.65661,12.07388,631.5269,1,0,0
5,2019/11/22 16:00:28.862,-65.19073,11.61028,631.9478,1,0,0
6,2019/11/22 16:00:28.879,-65.19073,11.61028,631.9478,1,0,0
7,2019/11/22 16:00:28.930,-64.56487,10.66225,632.101,1,0,0
8,2019/11/22 16:00:28.971,-64.21794,10.53609,631.6522,1,0,0
9,2019/11/22 16:00:29.1,-63.82602,10.79301,630.6371,1,0,0
10,2019/11/22 16:00:29.44,-63.57644,11.09134,629.4247,1,0,0
11,2019/11/22 16:00:29.72,-63.42368,11.15993,628.5281,1,0,0
12,2019/11/22 16:00:29.105,-63.37674,10.95301,627.6298,1,0,0
13,2019/11/22 16:00:29.143,-63.50788,10.46846,627.0663,1,0,0
14,2019/11/22 16:00:29.184,-63.8197,9.899077,626.7346,1,0,0
15,2019/11/22 16:00:29.214,-64.18517,9.265367,626.3146,1,0,0
16,2019/11/22 16:00:29.256,-64.49842,8.765313,626.2948,1,0,0
17,2019/11/22 16:00:29.285,-64.69437,8.403751,626.3203,1,0,0
18,2019/11/22 16:00:29.317,-64.77322,7.995436,626.4027,1,0,0
19,2019/11/22 16:00:29.358,-64.71651,7.609213,626.1174,1,0,0
20,2019/11/22 16:00:29.397,-64.50209,7.327919,626.0688,1,0,0
21,2019/11/22 16:00:29.414,-64.50209,7.327919,626.0688,1,0,0
22,2019/11/22 16:00:29.446,-64.13993,7.388677,626.0266,1,0,0
23,2019/11/22 16:00:29.484,-63.92881,7.65458,626.0912,1,0,0
24,2019/11/22 16:00:29.515,-63.82117,7.958311,626.1248,1,0,0
25,2019/11/22 16:00:29.532,-63.82117,7.958311,626.1248,1,0,0
26,2019/11/22 16:00:29.565,-63.82671,8.357802,625.8497,1,0,0
27,2019/11/22 16:00:29.629,-63.83912,8.502654,625.4732,1,0,0
28,2019/11/22 16:00:29.662,-63.82762,8.401746,625.1645,1,0,0
29,2019/11/22 16:00:29.682,-63.82762,8.401746,625.1645,1,0,0
30,2019/11/22 16:00:29.714,-63.95823,8.057601,624.5522,1,0,0
31,2019/11/22 16:00:29.756,-64.28931,7.718197,624.2451,1,0,0
32,2019/11/22 16:00:29.787,-64.53844,7.260736,623.703,1,0,0
