count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus,overStatus
0,2019/11/22 16:32:33.95,-92.13089,1.642556,588.3639,1,0,0
1,2019/11/22 16:32:33.129,-92.63149,0.7056058,588.0799,1,0,0
2,2019/11/22 16:32:33.153,-93.11172,0.3489859,587.9028,1,0,0
3,2019/11/22 16:32:33.187,-93.59007,0.2846015,587.4186,1,0,0
4,2019/11/22 16:32:33.213,-94.11674,-0.008472585,586.6173,1,0,0
5,2019/11/22 16:32:33.247,-94.86787,-0.4911081,585.9151,1,0,0
6,2019/11/22 16:32:33.275,-95.55065,-1.113178,584.9528,1,0,0
7,2019/11/22 16:32:33.310,-96.10664,-2.098518,584.302,1,0,0
8,2019/11/22 16:32:33.339,-96.47301,-2.902783,584.0275,1,0,0
9,2019/11/22 16:32:33.357,-96.47301,-2.902783,584.0275,1,0,0
10,2019/11/22 16:32:33.384,-96.66315,-3.536798,583.4288,1,0,0
11,2019/11/22 16:32:33.409,-96.89957,-3.868376,583.177,1,0,0
12,2019/11/22 16:32:33.444,-97.1426,-4.010381,582.9767,1,0,0
13,2019/11/22 16:32:33.468,-97.35527,-4.286326,582.9377,1,0,0
14,2019/11/22 16:32:33.486,-97.35527,-4.286326,582.9377,1,0,0
15,2019/11/22 16:32:33.513,-97.52895,-4.637001,582.5878,1,0,0
16,2019/11/22 16:32:33.546,-97.53764,-4.718224,582.4106,1,0,0
17,2019/11/22 16:32:33.583,-97.52011,-4.493742,582.4453,1,0,0
18,2019/11/22 16:32:33.606,-97.56346,-4.001544,582.9431,1,0,0
19,2019/11/22 16:32:33.636,-97.41277,-3.180624,583.3063,1,0,0
20,2019/11/22 16:32:33.660,-96.91991,-1.85017,583.8873,1,0,0
21,2019/11/22 16:32:33.680,-96.91991,-1.85017,583.8873,1,0,0
22,2019/11/22 16:32:33.714,-96.20273,-0.2961815,584.3365,1,0,0
23,2019/11/22 16:32:33.745,-95.61162,1.244356,584.9698,1,0,0
24,2019/11/22 16:32:33.769,-95.27628,2.658148,585.4522,1,0,0
25,2019/11/22 16:32:33.796,-95.16715,3.786589,585.5594,1,0,0
26,2019/11/22 16:32:33.813,-95.16715,3.786589,585.5594,1,0,0
27,2019/11/22 16:32:33.849,-95.23151,4.596972,585.9373,1,0,0
28,2019/11/22 16:32:33.874,-95.4524,5.636212,586.369,1,0,0
29,2019/11/22 16:32:33.899,-95.60914,7.190399,586.9283,1,0,0
30,2019/11/22 16:32:33.917,-95.60914,7.190399,586.9283,1,0,0
31,2019/11/22 16:32:33.949,-95.67099,8.734071,587.3974,1,0,0
32,2019/11/22 16:32:33.982,-95.86183,10.26989,588.0377,1,0,0
33,2019/11/22 16:32:34.9,-95.89639,11.70521,588.4944,1,0,0
34,2019/11/22 16:32:34.35,-95.77502,12.99125,588.7576,1,0,0
35,2019/11/22 16:32:34.63,-95.52591,14.54935,589.4135,1,0,0
36,2019/11/22 16:32:34.78,-95.52591,14.54935,589.4135,1,0,0
37,2019/11/22 16:32:34.116,-95.13644,16.21657,590.0703,1,0,0
38,2019/11/22 16:32:34.141,-94.76547,17.63153,590.4013,1,0,0
39,2019/11/22 16:32:34.176,-94.62467,18.66076,590.8435,1,0,0
40,2019/11/22 16:32:34.204,-94.57118,19.31528,591.1448,1,0,0
41,2019/11/22 16:32:34.233,-94.46214,19.5436,591.1425,1,0,0
42,2019/11/22 16:32:34.251,-94.46214,19.5436,591.1425,1,0,0
43,2019/11/22 16:32:34.275,-94.46147,19.59751,591.2762,1,0,0
44,2019/11/22 16:32:34.299,-94.39989,19.49405,591.0879,1,0,0
45,2019/11/22 16:32:34.317,-94.39989,19.49405,591.0879,1,0,0
46,2019/11/22 16:32:34.341,-94.52411,19.01975,591.012,1,0,0
47,2019/11/22 16:32:34.375,-94.80567,18.35908,590.5912,1,0,0
48,2019/11/22 16:32:34.406,-95.10707,17.83558,590.3754,1,0,0
49,2019/11/22 16:32:34.430,-95.35716,17.42478,590.1265,1,0,0
50,2019/11/22 16:32:34.448,-95.35716,17.42478,590.1265,1,0,0
51,2019/11/22 16:32:34.472,-95.5383,17.11292,589.8406,1,0,0
52,2019/11/22 16:32:34.503,-95.74852,16.71248,589.3652,1,0,0
53,2019/11/22 16:32:34.531,-96.04953,16.46496,589.1122,1,0,0
54,2019/11/22 16:32:34.554,-96.26455,16.43651,589.1039,1,0,0
55,2019/11/22 16:32:34.572,-96.26455,16.43651,589.1039,1,0,0
56,2019/11/22 16:32:34.600,-96.34715,16.47903,589.0042,1,0,0
57,2019/11/22 16:32:34.638,-96.38972,16.65664,588.9655,1,0,0
58,2019/11/22 16:32:34.674,-96.38499,16.76247,589.0443,1,0,0
59,2019/11/22 16:32:34.697,-96.44299,16.77553,589.1517,1,0,0
60,2019/11/22 16:32:34.715,-96.44299,16.77553,589.1517,1,0,0
61,2019/11/22 16:32:34.739,-96.55292,16.80596,589.197,1,0,0
62,2019/11/22 16:32:34.772,-96.70671,16.83158,589.2654,1,0,0
63,2019/11/22 16:32:34.798,-96.90047,16.88341,589.42,1,0,0
64,2019/11/22 16:32:34.815,-96.90047,16.88341,589.42,1,0,0
65,2019/11/22 16:32:34.841,-97.05133,16.88194,589.4388,1,0,0
66,2019/11/22 16:32:34.869,-97.2211,16.74252,589.4147,1,0,0
67,2019/11/22 16:32:34.900,-97.40385,16.55313,589.4589,1,0,0
68,2019/11/22 16:32:34.924,-97.49959,16.23899,589.491,1,0,0
69,2019/11/22 16:32:34.941,-97.49959,16.23899,589.491,1,0,0
70,2019/11/22 16:32:34.967,-97.55121,15.79548,589.4581,1,0,0
71,2019/11/22 16:32:34.993,-97.58798,15.52097,589.4503,1,0,0
72,2019/11/22 16:32:35.25,-97.5295,15.5121,589.614,1,0,0
73,2019/11/22 16:32:35.55,-97.44008,15.4806,589.9081,1,0,0
74,2019/11/22 16:32:35.73,-97.44008,15.4806,589.9081,1,0,0
75,2019/11/22 16:32:35.106,-97.38375,15.21211,589.8121,1,0,0
76,2019/11/22 16:32:35.135,-97.50838,14.76682,589.8134,1,0,0
77,2019/11/22 16:32:35.168,-97.65839,14.34918,589.8436,1,0,0
78,2019/11/22 16:32:35.192,-97.79295,13.81774,589.7715,1,0,0
79,2019/11/22 16:32:35.212,-97.79295,13.81774,589.7715,1,0,0
80,2019/11/22 16:32:35.235,-98.0828,12.7672,589.9543,1,0,0
81,2019/11/22 16:32:35.269,-98.31625,11.7518,590.134,1,0,0
82,2019/11/22 16:32:35.285,-98.31625,11.7518,590.134,1,0,0
83,2019/11/22 16:32:35.319,-98.28969,11.2112,590.2259,1,0,0
84,2019/11/22 16:32:35.347,-98.23547,11.28562,590.2791,1,0,0
85,2019/11/22 16:32:35.369,-98.35549,11.65876,590.6905,1,0,0
86,2019/11/22 16:32:35.398,-98.53652,12.301,590.9313,1,0,0
87,2019/11/22 16:32:35.430,-98.73607,12.91593,591.0106,1,0,0
88,2019/11/22 16:32:35.454,-99.06611,13.3245,591.1072,1,0,0
89,2019/11/22 16:32:35.483,-99.42111,13.85623,591.3347,1,0,0
90,2019/11/22 16:32:35.501,-99.42111,13.85623,591.3347,1,0,0
91,2019/11/22 16:32:35.524,-99.6573,14.57788,591.6731,1,0,0
92,2019/11/22 16:32:35.557,-99.70428,15.39128,591.6743,1,0,0
93,2019/11/22 16:32:35.583,-99.65044,16.09896,591.7244,1,0,0
94,2019/11/22 16:32:35.598,-99.65044,16.09896,591.7244,1,0,0
95,2019/11/22 16:32:35.623,-99.61493,16.93162,591.9362,1,0,0
96,2019/11/22 16:32:35.645,-99.61493,16.93162,591.9362,1,0,0
97,2019/11/22 16:32:35.672,-99.58112,17.90057,592.238,1,0,0
98,2019/11/22 16:32:35.708,-99.47563,18.90577,592.3709,1,0,0
99,2019/11/22 16:32:35.733,-99.46207,19.74234,592.3466,1,0,0
100,2019/11/22 16:32:35.755,-99.53596,20.25597,592.2189,1,0,0
101,2019/11/22 16:32:35.773,-99.53596,20.25597,592.2189,1,0,0
102,2019/11/22 16:32:35.800,-99.70667,20.65315,592.288,1,0,0
103,2019/11/22 16:32:35.836,-99.8175,21.05991,592.3174,1,0,0
104,2019/11/22 16:32:35.862,-99.91814,21.3613,592.2976,1,0,0
105,2019/11/22 16:32:35.885,-100.0771,21.52944,592.3174,1,0,0
106,2019/11/22 16:32:35.915,-100.2108,21.49823,592.3333,1,0,0
107,2019/11/22 16:32:35.933,-100.2108,21.49823,592.3333,1,0,0
108,2019/11/22 16:32:35.967,-100.2792,21.40896,592.3679,1,0,0
109,2019/11/22 16:32:35.991,-100.2243,21.43899,592.5637,1,0,0
110,2019/11/22 16:32:36.17,-100.1085,21.44444,592.6093,1,0,0
111,2019/11/22 16:32:36.39,-100.1085,21.44444,592.6093,1,0,0
112,2019/11/22 16:32:36.65,-100.0386,21.54045,592.5828,1,0,0
113,2019/11/22 16:32:36.98,-99.90183,21.78793,592.5665,1,0,0
114,2019/11/22 16:32:36.129,-99.83839,22.17467,592.7047,1,0,0
115,2019/11/22 16:32:36.146,-99.83839,22.17467,592.7047,1,0,0
116,2019/11/22 16:32:36.172,-99.95363,22.6871,592.7606,1,0,0
117,2019/11/22 16:32:36.199,-100.1492,23.41063,592.6633,1,0,0
118,2019/11/22 16:32:36.232,-100.2748,24.1505,592.8615,1,0,0
119,2019/11/22 16:32:36.257,-100.3397,24.59232,593.1094,1,0,0
120,2019/11/22 16:32:36.282,-100.4256,24.72771,593.3613,1,0,0
121,2019/11/22 16:32:36.298,-100.4256,24.72771,593.3613,1,0,0
122,2019/11/22 16:32:36.324,-100.5023,24.73128,593.6179,1,0,0
123,2019/11/22 16:32:36.361,-100.5358,24.73359,593.8147,1,0,0
124,2019/11/22 16:32:36.386,-100.5042,24.74011,593.8839,1,0,0
125,2019/11/22 16:32:36.413,-100.4398,24.55658,593.6804,1,0,0
126,2019/11/22 16:32:36.432,-100.4398,24.55658,593.6804,1,0,0
127,2019/11/22 16:32:36.457,-100.4747,24.28363,593.6235,1,0,0
128,2019/11/22 16:32:36.490,-100.4534,23.90715,593.2526,1,0,0
129,2019/11/22 16:32:36.508,-100.4534,23.90715,593.2526,1,0,0
130,2019/11/22 16:32:36.533,-100.4964,23.47748,592.9927,1,0,0
131,2019/11/22 16:32:36.564,-100.6066,23.15453,592.823,1,0,0
132,2019/11/22 16:32:36.588,-100.7351,22.85077,592.6272,1,0,0
133,2019/11/22 16:32:36.605,-100.7351,22.85077,592.6272,1,0,0
134,2019/11/22 16:32:36.637,-100.8504,22.60403,592.5372,1,0,0
135,2019/11/22 16:32:36.666,-100.9311,22.40738,592.5409,1,0,0
136,2019/11/22 16:32:36.689,-101.0542,22.29298,592.368,1,0,0
137,2019/11/22 16:32:36.716,-101.287,22.34101,592.274,1,0,0
138,2019/11/22 16:32:36.733,-101.287,22.34101,592.274,1,0,0
