count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus
count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus
74,2019/11/19 17:39:32.202,86.36866,-15.83888,613.1959,1,0
75,2019/11/19 17:39:32.255,86.41389,-15.81477,612.8607,1,0
76,2019/11/19 17:39:32.295,86.3225,-15.8237,612.1791,1,0
77,2019/11/19 17:39:32.340,86.28418,-15.80448,611.7245,1,0
78,2019/11/19 17:39:32.394,86.29684,-15.77036,611.1849,1,0
79,2019/11/19 17:39:32.434,86.30462,-15.57516,610.4498,1,0
80,2019/11/19 17:39:32.471,86.27911,-15.34605,609.9258,1,0
81,2019/11/19 17:39:32.525,86.24818,-15.14473,609.2222,1,0
82,2019/11/19 17:39:32.577,86.24725,-15.1476,608.7228,1,0
83,2019/11/19 17:39:32.616,86.2222,-15.52284,608.1331,1,0
84,2019/11/19 17:39:32.669,86.28318,-15.76532,607.9464,1,0
85,2019/11/19 17:39:32.709,86.40862,-15.92848,607.7609,1,0
86,2019/11/19 17:39:32.745,86.70413,-16.87908,607.4918,1,0
87,2019/11/19 17:39:32.806,87.00352,-17.77076,607.4906,1,0
88,2019/11/19 17:39:32.847,87.25183,-18.72609,607.4056,1,0
89,2019/11/19 17:39:32.885,87.60632,-20.10029,607.2992,1,0
90,2019/11/19 17:39:32.938,87.70636,-20.76361,607.2413,1,0
91,2019/11/19 17:39:32.979,87.664,-20.94588,607.0323,1,0
92,2019/11/19 17:39:33.24,87.3361,-20.57322,606.2053,1,0
93,2019/11/19 17:39:33.77,87.15552,-20.20705,606.2068,1,0
94,2019/11/19 17:39:33.117,86.98539,-19.89172,605.8746,1,0
95,2019/11/19 17:39:33.155,86.86836,-19.47143,605.16,1,0
96,2019/11/19 17:39:33.213,86.95073,-19.24378,604.8394,1,0
97,2019/11/19 17:39:33.266,87.18044,-19.18753,604.7867,1,0
98,2019/11/19 17:39:33.305,87.65935,-19.08365,605.6099,1,0
99,2019/11/19 17:39:33.355,87.93288,-18.7835,606.0695,1,0
100,2019/11/19 17:39:33.396,88.06044,-18.10767,606.9449,1,0
101,2019/11/19 17:39:33.432,87.90643,-17.43027,607.5942,1,0
