count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus
75,2019/11/19 17:44:27.42,95.92084,13.72639,635.9354,1,0
76,2019/11/19 17:44:27.85,95.27229,14.97201,636.3224,1,0
77,2019/11/19 17:44:27.122,94.71117,16.04281,636.4218,1,0
78,2019/11/19 17:44:27.168,94.63889,17.46623,637.1774,1,0
79,2019/11/19 17:44:27.205,94.39118,18.5113,637.2955,1,0
80,2019/11/19 17:44:27.242,93.7977,20.60837,637.3192,1,0
81,2019/11/19 17:44:27.293,93.53809,20.56994,636.3289,1,0
82,2019/11/19 17:44:27.333,93.73066,19.55155,635.6159,1,0
83,2019/11/19 17:44:27.373,94.51365,16.2163,634.7121,1,0
84,2019/11/19 17:44:27.418,94.38069,14.77728,634.8553,1,0
85,2019/11/19 17:44:27.452,93.84062,13.21649,634.3811,1,0
86,2019/11/19 17:44:27.478,93.84062,13.21649,634.3811,1,0
87,2019/11/19 17:44:27.513,92.47684,9.126623,632.9559,1,0
88,2019/11/19 17:44:27.566,91.95516,6.284535,632.1475,1,0
89,2019/11/19 17:44:36.924,109.9593,21.78578,638.2357,1,0
90,2019/11/19 17:44:36.951,109.9522,22.13254,637.6566,1,0
91,2019/11/19 17:44:37.3,110.041,22.42061,637.2097,1,0
92,2019/11/19 17:44:37.42,110.3031,22.68608,637.3403,1,0
93,2019/11/19 17:44:37.74,110.4356,23.00255,636.8752,1,0
94,2019/11/19 17:44:37.174,110.4655,22.99472,636.4443,1,0
95,2019/11/19 17:44:37.213,110.5266,22.53711,635.7938,1,0
96,2019/11/19 17:44:37.246,110.7769,21.92516,636.0197,1,0
97,2019/11/19 17:44:37.295,111.1311,20.93208,635.9539,1,0
98,2019/11/19 17:44:37.340,111.4929,20.33088,636.0384,1,0
99,2019/11/19 17:44:37.377,111.8016,19.89981,636.249,1,0
100,2019/11/19 17:44:37.421,111.9423,19.56327,636.907,1,0
101,2019/11/19 17:44:37.456,111.9325,19.5713,637.1017,1,0
102,2019/11/19 17:44:37.487,111.8326,19.35005,636.7766,1,0
103,2019/11/19 17:44:37.538,111.7994,19.24907,636.4193,1,0
104,2019/11/19 17:44:37.578,111.8532,19.14977,636.499,1,0
105,2019/11/19 17:44:37.613,111.7664,19.21702,636.4142,1,0
106,2019/11/19 17:44:37.658,111.6605,19.07648,636.3023,1,0
107,2019/11/19 17:44:37.695,111.7948,18.88679,636.8893,1,0
108,2019/11/19 17:44:37.727,111.9029,18.89035,636.9055,1,0
109,2019/11/19 17:44:37.775,111.8824,18.90414,636.9623,1,0
110,2019/11/19 17:44:37.814,111.7714,19.18656,636.7973,1,0
111,2019/11/19 17:44:37.849,111.7177,19.62111,636.9919,1,0
112,2019/11/19 17:44:37.893,111.5451,19.87997,636.8212,1,0
113,2019/11/19 17:44:37.928,111.5693,20.86375,637.1677,1,0
114,2019/11/19 17:44:37.964,111.4221,21.39432,637.1378,1,0
115,2019/11/19 17:44:38.19,111.3813,21.82042,637.5813,1,0
116,2019/11/19 17:44:38.64,111.3992,21.99481,637.8333,1,0
117,2019/11/19 17:44:38.98,111.4471,22.75527,638.2227,1,0
118,2019/11/19 17:44:38.151,111.3365,23.02906,638.1116,1,0
119,2019/11/19 17:44:38.193,111.3653,23.50326,638.0336,1,0
120,2019/11/19 17:44:38.226,111.3259,23.58788,637.9833,1,0
121,2019/11/19 17:44:38.291,111.2715,23.75913,637.9503,1,0
122,2019/11/19 17:44:38.338,111.2113,23.84572,637.563,1,0
123,2019/11/19 17:44:38.384,111.3122,22.81385,636.9163,1,0
124,2019/11/19 17:44:38.451,111.5534,22.31188,636.8262,1,0
125,2019/11/19 17:44:38.514,111.6621,22.83812,637.5103,1,0
126,2019/11/19 17:44:38.567,111.3375,23.69946,637.4775,1,0
127,2019/11/19 17:44:38.638,111.3515,24.11912,637.7027,1,0
128,2019/11/19 17:44:38.694,111.2107,25.41822,638.4092,1,0
129,2019/11/19 17:44:38.763,110.5947,26.87856,637.9478,1,0
130,2019/11/19 17:44:38.832,111.0712,26.43592,637.8795,1,0
131,2019/11/19 17:44:38.886,111.4633,26.01314,638.1868,1,0
132,2019/11/19 17:44:38.942,111.5063,25.62007,638.4744,1,0
133,2019/11/19 17:44:39.20,111.6068,25.16079,638.4938,1,0
134,2019/11/19 17:44:39.73,111.5045,25.21932,638.7409,1,0
135,2019/11/19 17:44:39.122,110.5842,25.98498,638.7213,1,0
136,2019/11/19 17:44:39.187,110.27,26.46269,638.5613,1,0
137,2019/11/19 17:44:39.257,109.8068,27.49406,638.5914,1,0
138,2019/11/19 17:44:39.310,109.5084,27.83729,638.3296,1,0
139,2019/11/19 17:44:39.372,109.505,27.75339,637.929,1,0
140,2019/11/19 17:44:39.420,109.6084,27.72346,637.5121,1,0
141,2019/11/19 17:44:39.478,110.1623,27.32881,637.4066,1,0
142,2019/11/19 17:44:39.546,110.637,27.35347,637.5216,1,0
143,2019/11/19 17:44:39.595,110.8288,28.03616,637.9028,1,0
144,2019/11/19 17:44:39.639,110.7741,28.45547,637.9677,1,0
145,2019/11/19 17:44:39.722,110.595,28.13748,637.9726,1,0
146,2019/11/19 17:44:39.779,110.4398,28.05292,638.9956,1,0
147,2019/11/19 17:44:39.831,110.2822,28.58389,639.5729,1,0
148,2019/11/19 17:44:39.903,109.8219,29.49322,639.3489,1,0
149,2019/11/19 17:44:39.965,109.6508,29.78837,639.5254,1,0
150,2019/11/19 17:44:40.17,109.4634,29.76225,638.5669,1,0
151,2019/11/19 17:44:40.92,109.5463,29.50754,637.9504,1,0
152,2019/11/19 17:44:40.144,109.7705,28.6347,637.597,1,0
153,2019/11/19 17:44:40.216,110.2735,27.74773,637.5132,1,0
154,2019/11/19 17:44:40.286,110.4045,27.41355,637.7372,1,0
155,2019/11/19 17:44:40.334,110.345,27.35044,637.6166,1,0
156,2019/11/19 17:44:40.378,110.1646,27.9094,638.0565,1,0
157,2019/11/19 17:44:40.454,110.19,28.59572,638.3623,1,0
158,2019/11/19 17:44:40.506,109.9202,28.73222,638.1853,1,0
159,2019/11/19 17:44:40.567,109.7334,29.07718,638.092,1,0
160,2019/11/19 17:44:40.638,109.516,29.06972,637.0977,1,0
161,2019/11/19 17:44:40.705,109.6111,28.75923,636.8536,1,0
162,2019/11/19 17:44:40.771,110.0955,27.70345,635.9985,1,0
163,2019/11/19 17:44:40.840,110.4524,27.09842,635.8011,1,0
164,2019/11/19 17:44:40.905,110.8236,26.03421,636.1959,1,0
165,2019/11/19 17:44:40.956,110.8127,25.57251,636.6816,1,0
166,2019/11/19 17:44:41.19,110.6469,25.78045,636.7087,1,0
167,2019/11/19 17:44:41.78,110.1085,26.06718,636.6188,1,0
168,2019/11/19 17:44:41.147,109.932,25.80551,636.728,1,0
169,2019/11/19 17:44:41.219,109.9247,25.53544,636.9367,1,0
170,2019/11/19 17:44:41.269,110.0619,24.51807,636.8692,1,0
171,2019/11/19 17:44:41.317,110.3804,24.07725,637.3993,1,0
172,2019/11/19 17:44:41.388,110.3519,24.35335,637.3481,1,0
173,2019/11/19 17:44:41.436,110.2368,24.27297,637.1323,1,0
174,2019/11/19 17:44:41.479,110.2585,24.37004,636.9622,1,0
175,2019/11/19 17:44:41.547,110.0051,24.14097,636.7976,1,0
176,2019/11/19 17:44:41.608,109.8592,24.04439,636.5825,1,0
177,2019/11/19 17:44:41.659,109.8073,24.42475,636.6718,1,0
178,2019/11/19 17:44:41.720,109.548,24.95534,636.2225,1,0
179,2019/11/19 17:44:41.767,109.7378,25.04387,636.1777,1,0
180,2019/11/19 17:44:41.810,109.7378,25.04387,636.1777,1,0
181,2019/11/19 17:44:41.859,110.2606,24.2023,636.2571,1,0
182,2019/11/19 17:44:41.918,110.3504,23.60879,635.4921,1,0
183,2019/11/19 17:44:41.966,111.1988,22.33099,636.0455,1,0
184,2019/11/19 17:44:42.9,111.5505,22.15177,636.6112,1,0
185,2019/11/19 17:44:42.90,111.1669,22.45824,636.0824,1,0
186,2019/11/19 17:44:42.145,111.324,22.27513,636.2566,1,0
187,2019/11/19 17:44:42.195,111.3068,21.98113,635.8627,1,0
188,2019/11/19 17:44:42.267,111.3546,22.56098,635.8918,1,0
189,2019/11/19 17:44:42.329,111.2287,22.77831,635.4245,1,0
190,2019/11/19 17:44:42.382,111.3144,22.72701,634.9471,1,0
191,2019/11/19 17:44:42.448,111.7109,22.64586,634.9764,1,0
192,2019/11/19 17:44:42.504,111.8239,22.71808,634.8719,1,0
193,2019/11/19 17:44:42.566,111.575,22.93818,634.3867,1,0
194,2019/11/19 17:44:42.648,111.5895,22.75738,634.1042,1,0
195,2019/11/19 17:44:42.706,111.3441,22.81644,633.996,1,0
196,2019/11/19 17:44:42.771,111.1757,22.72472,633.9202,1,0
197,2019/11/19 17:44:42.845,111.1283,22.80634,634.3685,1,0
198,2019/11/19 17:44:42.895,111.1441,22.9933,635.2758,1,0
199,2019/11/19 17:44:42.945,110.8549,24.11786,636.2968,1,0
200,2019/11/19 17:44:43.24,110.1373,25.64217,636.2128,1,0
201,2019/11/19 17:44:43.78,109.9108,26.03765,636.1964,1,0
202,2019/11/19 17:44:43.130,110.0313,26.16604,636.2292,1,0
203,2019/11/19 17:44:43.197,109.7139,26.84108,636.4953,1,0
204,2019/11/19 17:44:43.264,109.5254,27.19944,636.5818,1,0
205,2019/11/19 17:44:43.314,108.9609,28.44185,636.9081,1,0
206,2019/11/19 17:44:43.395,108.8976,28.9642,637.2665,1,0
207,2019/11/19 17:44:43.448,108.4634,28.87115,636.441,1,0
208,2019/11/19 17:44:43.514,108.7065,27.37545,636.0661,1,0
209,2019/11/19 17:44:43.589,108.6926,27.41556,635.7032,1,0
210,2019/11/19 17:44:43.650,108.8765,27.43455,635.5122,1,0
211,2019/11/19 17:44:43.715,109.2015,27.81784,635.2191,1,0
212,2019/11/19 17:44:43.786,109.041,27.3142,633.7773,1,0
