count,dateTime,waistX,waistY,waistZ,expStatus,LimitStatus
0,2019/11/19 17:49:26.957,144.5369,69.67271,631.779,1,0
1,2019/11/19 17:49:26.984,143.0932,74.81699,633.3112,1,0
2,2019/11/19 17:49:27.22,142.3206,76.85292,633.5262,1,0
3,2019/11/19 17:49:27.54,142.3206,76.85292,633.5262,1,0
4,2019/11/19 17:49:27.101,141.6131,79.14192,634.0439,1,0
5,2019/11/19 17:49:27.133,141.6109,79.47643,634.3973,1,0
6,2019/11/19 17:49:27.168,141.2234,80.54797,635.2248,1,0
7,2019/11/19 17:49:27.210,140.9188,80.41917,635.1788,1,0
8,2019/11/19 17:49:27.246,140.8604,80.18494,634.9919,1,0
9,2019/11/19 17:49:27.283,140.7992,79.98859,634.8797,1,0
10,2019/11/19 17:49:27.335,140.8434,79.94662,635.2047,1,0
11,2019/11/19 17:49:27.370,140.6455,80.04426,635.1844,1,0
12,2019/11/19 17:49:27.398,140.3344,79.04092,635.0333,1,0
13,2019/11/19 17:49:27.441,140.4115,78.41379,634.9131,1,0
14,2019/11/19 17:49:27.468,140.4202,77.79342,634.7561,1,0
15,2019/11/19 17:49:27.510,140.3723,77.10284,634.6357,1,0
16,2019/11/19 17:49:27.548,140.4898,76.33407,634.7344,1,0
17,2019/11/19 17:49:27.578,140.6164,75.69431,634.4581,1,0
18,2019/11/19 17:49:27.596,140.6164,75.69431,634.4581,1,0
19,2019/11/19 17:49:27.626,141.1637,74.15117,634.2505,1,0
20,2019/11/19 17:49:27.671,141.3648,73.43053,634.0213,1,0
21,2019/11/19 17:49:27.707,141.494,72.82262,633.9078,1,0
22,2019/11/19 17:49:27.752,141.5387,72.19539,633.8589,1,0
23,2019/11/19 17:49:27.794,141.5859,71.55166,633.8571,1,0
24,2019/11/19 17:49:27.827,141.657,70.98756,634.1672,1,0
25,2019/11/19 17:49:27.855,141.7186,70.22883,633.7028,1,0
26,2019/11/19 17:49:27.897,142.0718,69.65713,633.9592,1,0
27,2019/11/19 17:49:27.935,142.3348,69.0525,633.7776,1,0
28,2019/11/19 17:49:27.968,142.6227,68.35183,633.8541,1,0
29,2019/11/19 17:49:28.14,142.7944,67.90037,633.9279,1,0
30,2019/11/19 17:49:28.47,142.9918,67.3593,634.0049,1,0
31,2019/11/19 17:49:28.74,143.3521,66.63126,634.3313,1,0
